Name,ID,Icon,Common,Class,Typology,Family,Primitive,Dual,Specificity,Discretizable,Sortable,Control,Font,Formatter,Renderer,Description,Example
Reference,reference,mdi-barcode,FALSE,discrete,referential,categorical,UINTEGER,,5,FALSE,FALSE,integer,monospace,default,category,"Numerical variable used to uniquely identify people, places, or things","1, 2, 2003"
Relation,relation,mdi-share-variant,FALSE,discrete,relational,discrete,VARCHAR,,7,FALSE,FALSE,search,regular,default,,Categorical variable with details externalized into a related table,"USA✝, Mexico✝, Canada✝"
Sector,sector,mdi-chart-donut,FALSE,discrete,sectorial,directional,DOUBLE,angle,11,FALSE,TRUE,integer,monospace,number,,Fractional variable which values are directional,"10°, 20°, 30°"
Sequence,sequence,mdi-sort-numeric-variant,FALSE,discrete,sequential,categorical,INTEGER,,4,FALSE,TRUE,integer,monospace,default,sequence,Numeric variable which values can be represented with sequential integers,"1st, 2nd, 3rd"
Series,series,mdi-chart-timeline-variant,FALSE,structural,periodseries,structural,STRUCT,,10,FALSE,FALSE,array,regular,series,series,Series,"{ offset: 1, points: [1, 2, 3] }"
String,string,mdi-alphabetical,TRUE,discrete,textual,textual,VARCHAR,,2,FALSE,FALSE,string,regular,default,,Textual variable which values are not necessarily human readable,"Foo, Bar, Baz"
Text,text,mdi-format-text,FALSE,discrete,textual,textual,VARCHAR,,3,FALSE,FALSE,text,regular,default,,Textual variable which values are human readable,Lorem ipsum dolor sit amet
Time,time,mdi-clock,FALSE,continuous,chronological,chronical,TIME,moment,12,TRUE,TRUE,clock,monospace,chronical,time,Longitudinal variable which values are chronical,2:56:15 AM
Timestamp,timestamp,mdi-calendar-clock,FALSE,discrete,calendar,chronological,TIMESTAMP,,12,TRUE,TRUE,timestamp,monospace,timestamp,timestamp,Incremental variable which values are chronological with a second periodicity,March 31 2012 06:31:41
URL,url,mdi-link-variant,FALSE,discrete,nominal,addressal,VARCHAR,,15,FALSE,FALSE,string,regular,default,url,Address for a web page or a file,https://stoic.com
Word,word,mdi-sort-alphabetical-variant,FALSE,discrete,lexical,textual,VARCHAR,,3,FALSE,TRUE,string,regular,default,category,Nominal variable which values can be sorted,"Alpha, Bravo, Charlie"
